date,USDONTD156N
01/12/2010,0.24
02/12/2010,0.23969
03/12/2010,0.24063
06/12/2010,0.24031
07/12/2010,0.24156
08/12/2010,0.24094
09/12/2010,0.24
10/12/2010,0.23813
13/12/2010,0.23875
14/12/2010,0.2375
15/12/2010,0.24
16/12/2010,0.23875
17/12/2010,0.23813
20/12/2010,0.24125
21/12/2010,0.24125
22/12/2010,0.23875
23/12/2010,0.24125
24/12/2010,0.24438
27/12/2010,.
28/12/2010,.
29/12/2010,0.24563
30/12/2010,0.24688
31/12/2010,0.25188
03/01/2011,.
04/01/2011,0.24688
05/01/2011,0.24375
06/01/2011,0.24375
07/01/2011,0.24125
10/01/2011,0.24125
11/01/2011,0.24
12/01/2011,0.24
13/01/2011,0.24
14/01/2011,0.23875
17/01/2011,.
18/01/2011,0.24
19/01/2011,0.23688
20/01/2011,0.23688
21/01/2011,0.23688
24/01/2011,0.23688
25/01/2011,0.23688
26/01/2011,0.23688
27/01/2011,0.23563
28/01/2011,0.23563
31/01/2011,0.23531
01/02/2011,0.236
02/02/2011,0.235
03/02/2011,0.237
04/02/2011,0.2369
07/02/2011,0.2374
08/02/2011,0.2355
09/02/2011,0.2355
10/02/2011,0.234
11/02/2011,0.234
14/02/2011,0.233
15/02/2011,0.2335
16/02/2011,0.2335
17/02/2011,0.231
18/02/2011,0.2295
21/02/2011,.
22/02/2011,0.228
23/02/2011,0.227
24/02/2011,0.2255
25/02/2011,0.2255
28/02/2011,0.2255
01/03/2011,0.2255
02/03/2011,0.2235
03/03/2011,0.2215
04/03/2011,0.2215
07/03/2011,0.2205
08/03/2011,0.2195
09/03/2011,0.2175
10/03/2011,0.216
11/03/2011,0.2155
14/03/2011,0.2135
15/03/2011,0.2115
16/03/2011,0.2115
17/03/2011,0.2065
18/03/2011,0.2055
21/03/2011,0.2045
22/03/2011,0.2025
23/03/2011,0.1995
24/03/2011,0.1955
25/03/2011,0.194
28/03/2011,0.192
29/03/2011,0.189
30/03/2011,0.1855
31/03/2011,0.1845
01/04/2011,0.184
04/04/2011,0.1782
05/04/2011,0.1697
06/04/2011,0.1628
07/04/2011,0.157
08/04/2011,0.15475
11/04/2011,0.15075
12/04/2011,0.144
13/04/2011,0.1405
14/04/2011,0.138
15/04/2011,0.1365
18/04/2011,0.1345
19/04/2011,0.1335
20/04/2011,0.1335
21/04/2011,0.1355
22/04/2011,.
25/04/2011,.
26/04/2011,0.135
27/04/2011,0.13475
28/04/2011,0.13375
29/04/2011,.
02/05/2011,.
03/05/2011,0.134
04/05/2011,0.1335
05/05/2011,0.1315
06/05/2011,0.13225
09/05/2011,0.13225
10/05/2011,0.13225
11/05/2011,0.132
12/05/2011,0.1315
13/05/2011,0.1315
16/05/2011,0.1315
17/05/2011,0.1305
18/05/2011,0.1305
19/05/2011,0.13025
20/05/2011,0.13
23/05/2011,0.13
24/05/2011,0.129
25/05/2011,0.129
26/05/2011,0.129
27/05/2011,0.127
30/05/2011,.
31/05/2011,0.128
01/06/2011,0.127
02/06/2011,0.1265
03/06/2011,0.1265
06/06/2011,0.126
07/06/2011,0.1265
08/06/2011,0.1265
09/06/2011,0.127
10/06/2011,0.127
13/06/2011,0.127
14/06/2011,0.1275
15/06/2011,0.1285
16/06/2011,0.128
17/06/2011,0.128
20/06/2011,0.128
21/06/2011,0.1275
22/06/2011,0.1275
23/06/2011,0.1265
24/06/2011,0.1275
27/06/2011,0.1265
28/06/2011,0.1265
29/06/2011,0.1255
30/06/2011,0.128
01/07/2011,0.1255
04/07/2011,.
05/07/2011,0.125
06/07/2011,0.1245
07/07/2011,0.1245
08/07/2011,0.1245
11/07/2011,0.1245
12/07/2011,0.1255
13/07/2011,0.124
14/07/2011,0.123
15/07/2011,0.12225
18/07/2011,0.12175
19/07/2011,0.12225
20/07/2011,0.12225
21/07/2011,0.1225
22/07/2011,0.12225
25/07/2011,0.1225
26/07/2011,0.122
27/07/2011,0.12225
28/07/2011,0.12375
29/07/2011,0.13125
01/08/2011,0.12861
02/08/2011,0.17167
03/08/2011,0.17833
04/08/2011,0.15278
05/08/2011,0.13611
08/08/2011,0.13611
09/08/2011,0.13611
10/08/2011,0.13833
11/08/2011,0.13944
12/08/2011,0.14278
15/08/2011,0.145
16/08/2011,0.14278
17/08/2011,0.14167
18/08/2011,0.14167
19/08/2011,0.14167
22/08/2011,0.14333
23/08/2011,0.14444
24/08/2011,0.14444
25/08/2011,0.14444
26/08/2011,0.14333
29/08/2011,.
30/08/2011,0.14333
31/08/2011,0.14667
01/09/2011,0.14222
02/09/2011,0.14111
05/09/2011,.
06/09/2011,0.14333
07/09/2011,0.14333
08/09/2011,0.14444
09/09/2011,0.14278
12/09/2011,0.14389
13/09/2011,0.145
14/09/2011,0.14667
15/09/2011,0.14722
16/09/2011,0.14667
19/09/2011,0.14833
20/09/2011,0.14667
21/09/2011,0.14611
22/09/2011,0.14611
23/09/2011,0.14611
26/09/2011,0.14611
27/09/2011,0.145
28/09/2011,0.14611
29/09/2011,0.145
30/09/2011,0.15222
03/10/2011,0.14444
04/10/2011,0.14333
05/10/2011,0.14278
06/10/2011,0.14267
07/10/2011,0.13944
10/10/2011,.
11/10/2011,0.14167
12/10/2011,0.14056
13/10/2011,0.14056
14/10/2011,0.13944
17/10/2011,0.14278
18/10/2011,0.14056
19/10/2011,0.14056
20/10/2011,0.14167
21/10/2011,0.14167
24/10/2011,0.14167
25/10/2011,0.14222
26/10/2011,0.14222
27/10/2011,0.14222
28/10/2011,0.14222
31/10/2011,0.14222
01/11/2011,0.14222
02/11/2011,0.14222
03/11/2011,0.14111
04/11/2011,0.14111
07/11/2011,0.14111
08/11/2011,0.14111
09/11/2011,0.14056
10/11/2011,0.14111
11/11/2011,.
14/11/2011,0.14222
15/11/2011,0.14389
16/11/2011,0.14167
17/11/2011,0.14278
18/11/2011,0.14278
21/11/2011,0.14278
22/11/2011,0.14278
23/11/2011,0.14278
24/11/2011,.
25/11/2011,0.14389
28/11/2011,0.14611
29/11/2011,0.145
30/11/2011,0.145
01/12/2011,0.14556
02/12/2011,0.14611
05/12/2011,0.1495
06/12/2011,0.15
07/12/2011,0.1505
08/12/2011,0.15
09/12/2011,0.15
12/12/2011,0.15
13/12/2011,0.1505
14/12/2011,0.1505
15/12/2011,0.1505
16/12/2011,0.1505
19/12/2011,0.1505
20/12/2011,0.1505
21/12/2011,0.1505
22/12/2011,0.15
23/12/2011,0.15
26/12/2011,.
27/12/2011,.
28/12/2011,0.15
29/12/2011,0.1495
30/12/2011,0.154
02/01/2012,.
03/01/2012,0.149
04/01/2012,0.15
05/01/2012,0.1495
06/01/2012,0.149
09/01/2012,0.149
10/01/2012,0.15
11/01/2012,0.149
12/01/2012,0.147
13/01/2012,0.146
16/01/2012,.
17/01/2012,0.1465
18/01/2012,0.1464
19/01/2012,0.1454
20/01/2012,0.1443
23/01/2012,0.1445
24/01/2012,0.1445
25/01/2012,0.1415
26/01/2012,0.141
27/01/2012,0.141
30/01/2012,0.1395
31/01/2012,0.1395
01/02/2012,0.139
02/02/2012,0.141
03/02/2012,0.142
06/02/2012,0.1415
07/02/2012,0.144
08/02/2012,0.142
09/02/2012,0.142
10/02/2012,0.142
13/02/2012,0.142
14/02/2012,0.144
15/02/2012,0.143
16/02/2012,0.142
17/02/2012,0.141
20/02/2012,.
21/02/2012,0.1405
22/02/2012,0.1405
23/02/2012,0.1395
24/02/2012,0.1385
27/02/2012,0.139
28/02/2012,0.139
29/02/2012,0.139
01/03/2012,0.1385
02/03/2012,0.1395
05/03/2012,0.1405
06/03/2012,0.1415
07/03/2012,0.1415
08/03/2012,0.1415
09/03/2012,0.1415
12/03/2012,0.1425
13/03/2012,0.1437
14/03/2012,0.1467
15/03/2012,0.1485
16/03/2012,0.1485
19/03/2012,0.149
20/03/2012,0.1515
21/03/2012,0.1525
22/03/2012,0.1535
23/03/2012,0.153
26/03/2012,0.153
27/03/2012,0.153
28/03/2012,0.153
